Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ちかてつ,"地｜下｜鉄
ち｜か｜てつ",chi-ka-te-tsu,Metro,,Noun (n.)
パスポート,,pa-su-po-o-to,Passport,,Noun (n.)
スマホ,,su-ma-ho,Smartphone,,Noun (n.)
じゃない,,ja-na-i,is not; am not; are not,,Expression
きっぷ,"切｜符
きっ｜符",kip-pu,Ticket,,Noun (n.)
くうこう,"空｜港
くう｜こう",kuu-kou,Airport,,Noun (n.)
ちず,"地｜図
ち｜ず",chi-zu,Map,,Noun (n.)
かばん,鞄,ka-ba-n,Bag,,Noun (n.)
やま,山,ya-ma,Mountain,,Noun (n.)
くち,口,ku-chi,Mouth,"When used in a name, it is pronounced as gu-chi (∵ Rendaku)",Noun (n.)
た,田,ta,Rice field,,Noun (n.)
なか,中,na-ka,Inside,,Noun (n.)
