Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
おきる,起きる,o-ki-ru,Get up (wake up),"Ichidan verb, おきます is the present polite form",Ichidan Verb
ねる,寝る,re-ru,To sleep (lying down),"Ichidan verb, ねます is the present polite form",Ichidan Verb
とる,撮る,to-ru,To take (a photograph) / To record (audio or video),"Godan verb, 撮ります is the present polite form",Godan Verb
あびる,浴びる,a-bi-ru,To take (a shower),"Ichidan verb, あびます is the present polite form",Ichidan Verb
つくる,作る,tsu-ku-ru,To make,"Godan verb, つくります is the present polite form",Godan Verb
はしる,走る,ha-shi-ru,To run,"Godan verb, はしります is the present polite form",Godan Verb
かのじょ,"彼｜女
かの｜じょ",ka-no-jyo,She / Her,,Pronoun
しゃしん,"写｜真
しゃ｜しん",sha-shi-n,Photograph,,Noun (n.)
りょこう,"旅｜行
りょ｜こう",ryo-ko-u,(n.) Travel,,Noun (n.)
しんぶん,"新｜聞
しん｜ぶん",shi-n-bu-n,Newspaper,,Noun (n.)
ラジオ,,ra-ji-o,Radio,,Noun (n.)
バレーボール,,ba-ree-boo-ru,Volleyball,,Noun (n.)
シャワー,,sha-waa,(n.) Shower,,Noun (n.)
メール,,mee-ru,Email,,Noun (n.)
パスタ,,pa-su-ta,Pasta,,Noun (n.)
それから,,so-re-ka-ra,After that,,Expression
よじ,四時,yo-ji,Four o’clock,,Noun (n.)
いつも,何時も,i-tsu-mo,Always,Usually written in kana only,Adverb
らいしゅう,"来｜週
らい｜しゅう",ra-i-syu-u,Next week,,Noun (n.)
まいしゅう,"毎｜週
まい｜しゅう",ma-i-shu-u,Every week,,Noun (n.)
あした,"明｜日
あ｜した",a-shi-ta,Tomorrow,,Noun (n.)
