Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
いう,言う,i-u,To say / To name,"Godan verb, 言います is the present polite form",Godan Verb
という,と言う,to-i-u,n. is called,と is used for quoting,Expression
こちら,此方,ko-chi-ra,This person,Someone physically close to the speaker and of equal or higher status,Pronoun
かのじょ,"彼｜女
かの｜じょ",ka-no-jyo,Girlfriend,,Noun (n.)
かれし,"彼｜氏
かれ｜し",ka-re-shi,Boyfriend,,Noun (n.)
しゅみ,"趣｜味
しゅ｜み",syu-mi,Hobby,,Noun (n.)
ホラー,,ho-raa,Horror,,Noun (n.)
ミステリー,,mi-su-te-rii,Mystery,,Noun (n.)
ファンタジー,,fa-n-ta-jii,Fantasy,,Noun (n.)
コメディ,,ko-me-di,Comedy,,Noun (n.)
れんあい,"恋｜愛
れん｜あい",re-n-a-i,Love,,Noun (n.)
アクション,,a-ku-syo-n,Action,,Noun (n.)
Kポップ,,k-pop-pu,K-pop,,Noun (n.)
すき,"好｜き
す｜き",su-ki,Liking / Fond of,,Na-adjective
どんな,,do-n-na,What kind of,,Other
かんこく,"韓｜国
かん｜こく",ka-n-ko-ku,South Korea,,Noun (n.)
ベトナム,,be-to-na-mu,Vietnam,,Noun (n.)
ちゅうごく,"中｜国
ちゅう｜ごく",cyu-u-go-ku,China,,Noun (n.)
ほんとう,"本｜当
ほん｜とう",ho-n-to-u,Truth / Real,,Noun (n.)
