Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ひっこす,引っ越す,hik-ko-su,To move (house),"Godan verb, ひっこします is the present polite form",Godan Verb
いる,居る,i-ru,To be / To exist,"Ichidan verb, います is the present polite form; Used with people and animals only",Ichidan Verb
アパート,,a-paa-to,Apartment,,Noun (n.)
いえ,家,i-e,House,,Noun (n.)
キッチン,,kic-chi-n,Kitchen,,Noun (n.)
リビング,,ri-bi-n-gu,Living room,,Noun (n.)
エアコン,,e-a-ko-n,Air conditioner,,Noun (n.)
せんたくき,"洗｜濯｜機
せん｜たく｜き",se-n-ta-ku-ki,Washing machine,,Noun (n.)
ほんだな,"本｜棚
ほん｜だな",ho-n-da-na,Bookshelf,,Noun (n.)
まど,窓,ma-do,Window,,Noun (n.)
トイレ,,to-i-re,Toilet,,Noun (n.)
そうじき,"掃｜除｜機
そう｜じ｜き",so-u-ji-ki,Vacuum Cleaner,,Noun (n.)
ベッド,,bed-do,Bed,,Noun (n.)
テーブル,,tee-bu-ru,Table,,Noun (n.)
いす,"椅｜子
い｜す",i-su,Chair,,Noun (n.)
ふとん,布団,hu-to-n,Futon,,Noun (n.)
でんしレンジ,"電｜子｜レンジ
でん｜し｜レンジ",de-n-shi-re-n-ji,Microwave oven,,Noun (n.)
つくえ,机,tsu-ku-e,Desk,,Noun (n.)
れいぞうこ,"冷｜蔵｜庫
れい｜ぞう｜こ",re-i-zo-u-ko,Fridge,,Noun (n.)
ひろい,広い,hi-ro-i,Spacious,,I-Adjective
あかるい,明るい,a-ka-ru-i,Bright / Well-lit,,I-Adjective
せまい,狭い,se-ma-i,Narrow / Cramped,,I-Adjective
まだ,未だ,ma-da,Still,,Adverb
たぶん,"多｜分
た｜ぶん",ta-bu-n,Probably,,Adverb
こんしゅう,"今｜週
こん｜しゅう",ko-n-syu-u,This week,,Noun (n.)
いつ,何時,i-tsu,When,,Pronoun
ねこ,猫,ne-ko,Cat,,Noun (n.)
