Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ほんとうに,"本｜当｜に
ほん｜とう｜に",ho-n-to-u-ni,Really (adv.),,Adverb
あれ,,a-re,That (over there),,Pronoun
なに,何,na-ni,What,,Pronoun
たてもの,"建｜物
たて｜もの",ta-te-mo-no,Building,,Noun (n.)
じんじゃ,"神｜社
じん｜じゃ",ji-n-jya,Shinto shrine,,Noun (n.)
ところ,所,to-ko-ro,Place,,Noun (n.)
おてら,"お寺
おてら",o-te-ra,Temple,,Noun (n.)
ピザや,ピザ屋,pi-za-ya,Pizza shop,,Noun (n.)
ラーメンや,ラーメン屋,raa-me-n-ya,Ramen restaurant,,Noun (n.)
はらじゅく,"原｜宿
はら｜じゅく",ha-ra-jyu-ku,Harajuku,,Noun (n.)
ふじさん,"富｜士｜山
ふ｜じ｜さん",hu-ji-sa-n,Mount Fuji,,Noun (n.)
ポストカード,,po-su-to-kaa-do,Postcard,,Noun (n.)
デザート,,de-zaa-to,Dessert,,Noun (n.)
おかし,"お｜菓｜子
お｜か｜し",o-ka-shi,Sweets,,Noun (n.)
おみやげ,お土産,o-mi-ya-ge,Souvenir,,Noun (n.)
はな,花,ha-na,Flower,,Noun (n.)
ましょう,,ma-syo-u,Let’s (+ v.),"Used to make an invitation, request, etc.",Expression
