Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
だいじょうぶ,"大｜丈｜夫
だい｜じょう｜ぶ",da-i-jyo-u-bu,Safe / All right,,Na-adjective
ぐあい,"ぐ｜あい
具｜合",gu-a-i,Condition,,Noun (n.)
わるい,悪い,wa-ru-i,Bad,,I-Adjective
ぐあいがわるい,具合が悪い,gu-a-i-ga-wa-ru-i,Unwell,,Expression
あぶない,危ない,a-bu-na-i,Dangerous,,I-Adjective
アレルギー,,a-re-ru-gii,Allergy,,Noun (n.)
くすり,薬,ku-su-ri,Medicine,,Noun (n.)
おねがい,お願い,o-ne-ga-i,Request,,Noun (n.)
おねがいします,お願いします,o-ne-ga-i-shi-ma-su,Please,,Expression
ばんごう,"番｜号
ばん｜ごう",ba-n-go-u,Number,,Noun (n.)
れい,零,re-i,Zero,,Noun (n.)
ゼロ,〇,ze-ro,0,,Noun (n.)
の,,no,- (hypen) when speaking out a phone number,,Particle
すわる,座る,su-wa-ru,To sit,"Godan verb, すわります is the present polite form",Godan Verb
やすむ,休む,ya-su-mu,To rest,"Godan verb, やすみます is the present polite form",Godan Verb
きゅうきゅうしゃ,"救｜急｜車
きゅう｜きゅう｜しゃ",kyu-u-kyu-u-sha,Ambulance,,Noun (n.)
びょういん,"病｜院
びょう｜いん",byo-u-i-n,Hospital,,Noun (n.)
けいさつ,"警｜察
けい｜さつ",ke-i-sa-tsu,Police,,Noun (n.)
なん,何,na-n,How many,,Prefix
ご,御,go,Honorific/polite/humble prefix,,Prefix
りょうしん,"りょう｜しん
両｜親",ryo-u-shi-n,Parents,,Noun (n.)
ちかく,近く,chi-ka-ku,Nearby,,Noun (n.)
きょう,今日,kyo-u,Today,,Noun (n.)
ちゃんと,,cha-n-to,Seriously / Make sure to,,Adverb
