Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
てんき,"天｜気
てん｜き",te-n-ki,Weather,,Noun (n.)
あめ,雨,a-me,Rain / Rainy day,,Noun (n.)
はれ,晴れ,ha-re,Clear weather,,Noun (n.)
ゆき,雪,yu-ki,Snow,,Noun (n.)
あたたかい,"暖｜かい
あたた｜かい",a-ta-ta-ka-i,Warm,,I-Adjective
あつい,熱い,a-tsu-i,Hot,,I-Adjective
くもり,曇り,ku-mo-ri,Cloudy weather,,Noun (n.)
さむい,寒い,sa-mu-i,Cold,,I-Adjective
うみ,海,u-mi,Sea / Ocean,うみに行きます → go to the beach,Noun (n.)
プール,,puu-ru,Swimming pool,,Noun (n.)
ひ,日,hi,Day / Sun,,Noun (n.)
はなび,"花｜火
はな｜び",ha-na-bi,Fireworks,,Noun (n.)
コンサート,,ko-n-saa-to,Concert,,Noun (n.)
おんせん,"温｜泉
おん｜せん",o-n-se-n,Hot spring,,Noun (n.)
はる,春,ha-ru,Spring,,Noun (n.)
なつ,夏,na-tsu,Summer,,Noun (n.)
あき,秋,a-ki,Autumn,,Noun (n.)
ふゆ,冬,hu-yu,Winter,,Noun (n.)
がつ,月,ga-tsu,Suffix for month names,num. + ga-tsu → num. 月,Suffix
やすみ,休み,ya-su-mi,(n.) Rest,,Noun (n.)
こんばん,"今｜晩
こん｜ばん",ko-n-ba-n,Tonight,,Noun (n.)
ココア,,ko-ko-a,Cocoa,,Noun (n.)
おもう,思う,o-mo-u,To think,"Godan verb, おもいます is the present polite form",Godan Verb
