Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
しごと,"仕｜事
し｜ごと",shi-go-to,Work,,Noun (n.)
かじ,"家｜事
か｜じ",ka-ji,Housework,,Noun (n.)
しゅくだい,"宿｜題
しゅく｜だい",shu-ku-da-i,Homework,,Noun (n.)
ガーデニング,,gaa-de-ni-n-gu,Gardening,,Noun (n.)
あと,後,a-to,After,,Noun (n.)
そして,而して,so-shi-te,And then,,Conjunction
がっこう,"学｜校
がっ｜こう",gak-ko-u,School,,Noun (n.)
うち,内,u-chi,Home,,Noun (n.)
かえる,帰る,ka-e-ru,To return,"Godan verb, かえります is the present polite form",Godan Verb
てつだう,"手｜伝｜う
て｜つだ｜う",te-tsu-da-u,To help,"Godan verb, てつだいます is the present polite form",Godan Verb
はいる,入る,ha-i-ru,To enter,"Godan verb, はいります is the present polite form;
Usually place (n.) + に + 入る",Godan Verb
にん,人,ni-n,Counter for people,"Used only for 3 and up.
e.g. さんにん → 3 people",Counter
そうじ,"掃｜除
そう｜じ",so-u-ji,Cleaning,,Noun (n.)
せんたく,"洗｜濯
せん｜たく",se-n-ta-ku,Laundry,,Noun (n.)
ストレッチ,,su-to-rec-chi,Stretch,,Noun (n.)
ごはん,ご飯,go-ha-n,Meal,,Noun (n.)
おふろ,"お｜風｜呂
お｜ふ｜ろ",o-hu-ro,Bath,,Noun (n.)
かいもの,"買｜い｜物
か｜い｜もの",ka-i-mo-no,Shopping,,Noun (n.)
りょうり,"料｜理
りょう｜り",ryo-u-ri,Cooking,,Noun (n.)
いろいろ,"色｜々
いろ｜いろ",i-ro-i-ro,All sorts of,,Na-adjective
だれ,誰,da-re,Who,,Pronoun
やさしい,易しい,ya-sa-shi-i,Easy,,I-Adjective
たいへん,"大｜変
たい｜へん",ta-i-he-n,Difficult / Tough,,Na-adjective
たのしい,楽しい,ta-no-shi-i,Fun / Enjoyable,,I-Adjective
や,,ya,(n.) + and + (.n),Used for non-exhaustive lists related to a specific time and place,Particle
が,,ga,But,,Conjunction
