Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
らいげつ,"来｜月
らい｜げつ",ra-i-ge-tsu,Next month,,Noun (n.)
で,,de,At / In,,Particle
ましょう,,ma-syo-u,Let’s (v.) / We should (v.),,Expression
あう,会う,a-u,To meet,"Godan verb, あいます is the present polite form",Godan Verb
りょこう,"旅｜行
りょ｜こう",ryo-ko-u,Travel / Trip,,Noun (n.)
どうぶつえん,"動｜物｜園
どう｜ぶつ｜えん",do-u-bu-tsu-e-n,Zoo,,Noun (n.)
ライオン,,ra-i-o-n,Lion,,Noun (n.)
びじゅつかん,"美｜術｜館
び｜じゅつ｜かん",bi-jyu-tsu-ka-n,Art museum,,Noun (n.)
ひろば,"広｜場
ひろ｜ば",hi-ro-ba,Plaza / Public square,,Noun (n.)
フランス,仏蘭西,hu-ra-n-su,France,,Noun (n.)
ひこうき,"飛｜行｜機
ひ｜こう｜き",hi-ko-u-ki,Plane,,Noun (n.)
チケット,,chi-ket-to,Ticket,,Noun (n.)
スーツケース,,suu-tsu-kee-su,Suitcase,,Noun (n.)
え,絵,e,Picture,,Noun (n.)
しゃしん,"写｜真
しゃ｜しん",sha-shi-n,Photograph,,Noun (n.)
とる,撮る,to-ru,To take (a photograph),"Godan verb, とります is the present polite form",Godan Verb
にく,肉,ni-ku,Meat,,Noun (n.)
りょうり,"料｜理
りょう｜り",ryo-u-ri,Food / Cuisine,,Noun (n.)
けいかく,"計｜画
けい｜かく",ke-i-ka-ku,Plan,,Noun (n.)
