Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ごりょうしん,"ご｜両｜親
ご｜りょう｜しん",go-ryo-u-shi-n,(Someone else’s) parents,,Noun (n.)
げつようび,"月｜曜｜日
げつ｜よう｜び",ge-tsu-yo-u-bi,Monday,,Noun (n.)
かようび,"火｜曜｜日
か｜よう｜び",ka-yo-u-bi,Tuesday,,Noun (n.)
きんようび,"金｜曜｜日
きん｜よう｜び",ki-n-yo-u-bi,Friday,,Noun (n.)
なごや,"名｜古｜屋
な｜ご｜や",na-go-ya,Nagoya,,Noun (n.)
おととい,一昨日,o-to-to-i,The day before yesterday,,Noun (n.)
しろ,城,shi-ro,Castle,,Noun (n.)
しんかんせん,"新｜幹｜線
しん｜かん｜せん",shi-n-ka-n-se-n,Shinkansen / Bullet train,,Noun (n.)
のる,乗る,no-ru,"To get on (train, plane, bus, ship, etc.)","Godan verb, のります is the present polite form",Godan Verb
まつ,待つ,ma-tsu,To wait,"Godan verb, まちます is the present polite form",Godan Verb
たのしみ,"楽｜し｜み
たの｜し｜み",ta-no-shi-mi,Anticipation / Looking forward to,,Noun (n.)
へ,,he,To / Towards / For,Pronounced as え,Particle
た,,ta,v. + た → did v.,eg. 話します (talk) → 話しました (talked),Other
ロビー,,ro-bii,Lobby,,Noun (n.)
すしや,"寿｜司｜屋
す｜し｜や",su-shi-ya,Sushi restaurant,,Noun (n.)
にわ,庭,ni-wa,Garden,,Noun (n.)
せき,席,se-ki,Seat,,Noun (n.)
かんこう,"観｜光
かん｜こう",ka-n-ko-u,Sightseeing,,Noun (n.)
みそかつ,"味｜噌｜カツ
み｜そ｜かつ",mi-so-ka-tsu,Miso port cutlets,,Noun (n.)
べんり,"便｜利
べん｜り",be-n-ri,Convenient,,Na-adjective
みじかい,"短｜い
みじか｜い",mi-ji-ka-i,Short,,I-Adjective
