Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
だいすき,"だい｜す｜き
大｜好｜き",da-i-su-ki,Liking very much / Love,,Na-adjective
おかしや,"お｜か｜し｜や
お｜菓｜子｜屋",o-ka-shi-ya,Pastry shop,,Noun (n.)
や,屋,ya,Shop / Restaurant,,Noun (n.)
まっちゃ,"まっ｜ちゃ
抹｜茶",mac-cha,Matcha,,Noun (n.)
チーズ,,chii-zu,Cheese,,Noun (n.)
ドーナツ,,doo-na-tsu,Doughnut,,Noun (n.)
チョコレート,,cho-ko-ree-to,Chocolate,,Noun (n.)
パイ,,pa-i,Pie,,Noun (n.)
クッキー,,kuk-kii,Cookie,,Noun (n.)
いちご,苺,i-chi-go,Strawberry,,Noun (n.)
の,,no,Of,,Particle
どの,何の,do-no,Which (a noun must be followed),,Other
もの,物,mo-no,Thing / Stuff,,Noun (n.)
あまい,"あま｜い
甘｜い",a-ma-i,Sweet,,I-Adjective
みどり,緑,mi-do-ri,Green,,Noun (n.)
カップ,,kap-pu,Cup,,Noun (n.)
