Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
いっしょに,"一｜緒｜に
いっ｜しょ｜に",is-syo-ni,Together,,Adverb
もっと,,mot-to,More,,Adverb
しょうゆ,"醤｜油
しょう｜ゆ",syo-u-yu,Soy sauce,,Noun (n.)
さかな,魚,sa-ka-na,Fish,,Noun (n.)
たまご,卵,ta-ma-go,Egg,,Noun (n.)
とうふ,"豆｜腐
とう｜ふ",to-u-hu,Tofu,,Noun (n.)
ぎゅうどん,"牛｜丼
ぎゅう｜どん",gyu-u-do-n,Gyudon / Beef bowl,,Noun (n.)
しお,塩,shi-o,Salt,,Noun (n.)
とんかつ,,to-n-ka-tsu,Pork cutlet,,Noun (n.)
ぶたにく,"豚｜肉
ぶた｜にく",bu-ta-ni-ku,Pork,,Noun (n.)
ソース,,soo-su,Sauce,,Noun (n.)
もくようび,"木｜曜｜日
もく｜よう｜び",mo-ku-yo-u-bi,Thursday,,Noun (n.)
よる,夜,yo-ru,Night,,Noun (n.)
ひま,暇,hi-ma,Free time / Free,,Na-adjective
スーパー,,suu-paa,Supermarket,,Noun (n.)
でも,,de-mo,But / However / Though,,Conjunction
つかう,使う,tsu-ka-u,To use,"Godan verb, つかいます is the present polite form
つかいましょう → should use",Godan Verb
わかる,分かる,wa-ka-ru,To understand,"Godan verb, わかります
 is the present polite form, わかりました is the past polite form",Godan Verb
コーラ,,koo-ra,Cola,,Noun (n.)
ビール,,bii-ru,Beer,,Noun (n.)
なま,生,na-ma,Raw / Uncooked,,Noun (n.)
しょっぱい,"塩｜っぱい
しょ｜っぱい",syop-pa-i,Salty,,I-Adjective
いいですね,,i-i-de-su-ne,Sounds good,,Expression
