Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
じゅぎょう,"授｜業
じゅ｜ぎょう",jyu-gyo-u,Class / Lesson,,Noun (n.)
テスト,,te-su-to,Test / Exam,,Noun (n.)
プロジェクト,,pu-ro-je-ku-to,Project,,Noun (n.)
しめきり,"締｜め｜切｜り
し｜め｜き｜り",shi-me-ki-ri,Deadline,,Noun (n.)
しつもん,"質｜問
しつ｜もん",shi-tsu-mo-n,Question,,Noun (n.)
きょうしつ,"教｜室
きょう｜しつ",kyo-u-shi-tsu,Classroom,,Noun (n.)
おわる,終わる,o-wa-ru,To end,"Godan verb, おわります is the present polite form",Godan Verb
きく,聞く,ki-ku,To ask,"Godan verb, ききます is the present polite form
ききましょう → should ask",Godan Verb
スペイン,スペイン,su-pe-i-n,Spain,,Noun (n.)
た,田,ta,Rice field,山田 is やまだ (has rendaku),Noun (n.)
たくさん,"沢｜山
たく｜さん",ta-ku-sa-n,A lot,,Adverb
はやく,"早｜く
はや｜く",ha-ya-ku,Early,,Adverb
おもしろい,"面｜白｜い
おも｜しろ｜い",o-mo-shi-ro-i,Interesting,,I-Adjective
いつつ,"五｜つ
いつ｜つ",i-tsu-tsu,Five,,Other
むっつ,六つ,mut-tsu,Six,,Other
ななつ,七つ,na-na-tsu,Seven,,Other
なんようび,"何｜曜｜日
なん｜よう｜び",na-n-yo-u-bi,What day / What day of the week,,Noun (n.)
かようび,"火｜曜｜日
か｜よう｜び",ka-yo-u-bi,Tuesday,,Noun (n.)
すいようび,"水｜曜｜日
すい｜よう｜び",su-i-yo-u-bi,Wednesday,,Noun (n.)
