Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
しゃしんか,"写｜真｜家
しゃ｜しん｜か",sha-shi-n-ka,Photographer,,Noun (n.)
カメラ,,ka-me-ra,Camera,,Noun (n.)
イベント,,i-be-n-to,Event,,Noun (n.)
ごぜん,"午｜前
ご｜ぜん",go-ze-n,a.m.,ごぜん + time → time a.m. (eg. ごぜんごじ → 5 a.m.),Noun (n.)
どうりょう,"同｜僚
どう｜りょう",do-u-ryo-u,Coworker,,Noun (n.)
マネージャー,,ma-nee-jyaa,Manager,,Noun (n.)
かいしゃ,"会｜社
かい｜しゃ",ka-i-sha,Company,,Noun (n.)
としょかん,"図｜書｜館
と｜しょ｜かん",to-syo-ka-n,Library,,Noun (n.)
ほんやく,"翻｜訳
ほん｜やく",ho-n-ya-ku,Translation,,Noun (n.)
ほんやくか,"翻｜訳｜家
ほん｜やく｜か",ho-n-ya-ku-ka,Translator,,Noun (n.)
じしょ,"辞｜書
じ｜しょ",ji-syo,Dictionary,,Noun (n.)
ナビ,,na-bi,GPS / Navigation,,Noun (n.)
うんてん,"運｜転
うん｜てん",u-n-te-n,Driving,,Noun (n.)
あらう,洗う,a-ra-u,To wash,"Godan verb, おらいます is the present polite form",Godan Verb
うんてんしゅ,"運｜転｜手
うん｜てん｜しゅ",u-n-te-n-syu,Driver,,Noun (n.)
チーム,,chii-mu,Team,,Noun (n.)
プロ,,pu-ro,Professional,,Noun (n.)
せんしゅ,"選｜手
せん｜しゅ",se-n-syu,Player (of a sport),,Noun (n.)
ジム,,ji-mu,Gym,,Noun (n.)
うんどう,"運｜動
うん｜どう",u-n-do-u,Exercise,,Noun (n.)
すごい,凄い,su-go-i,Amazing,,I-Adjective
なるほど,"成｜る｜程
な｜る｜ほど",na-ru-ho-do,I see,,Adverb
