Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
おとな,"大｜人
お｜とな",o-to-na,Adult,,Noun (n.)
にゅうじょうりょう,"入｜場｜料
にゅう｜じょう｜りょう",nyu-u-jyo-u-ryo-u,Admission fee,,Noun (n.)
さんぜん,"三｜千
さん｜ぜん",sa-n-ze-n,Three thousand,,Other
ゆうえんち,"遊｜園｜地
ゆう｜えん｜ち",yu-u-e-n-chi,Theme park,,Noun (n.)
はくぶつかん,"博｜物｜館
はく｜ぶつ｜かん",ha-ku-bu-tsu-ka-n,Museum,,Noun (n.)
いりぐち,"入｜り｜口
い｜り｜ぐち",i-ri-gu-chi,Entrance,,Noun (n.)
アトラクション,,a-to-ra-ku-syo-n,Attraction,,Noun (n.)
ジェットコースター,,jet-to-koo-su-taa,Roller coaster,,Noun (n.)
ゴーカート,,goo-kaa-to,Go-kart,,Noun (n.)
ショー,,syoo,Show,,Noun (n.)
キャラクター,,kya-ra-ku-taa,Mascot / Character,,Noun (n.)
かお,顔,ka-o,Face,,Noun (n.)
すき,好き,su-ki,Favorite / Preferred,,Na-adjective
アイスクリーム,,a-i-su-ku-rii-mu,Ice cream,,Noun (n.)
あじ,味,a-ji,Flavor,,Noun (n.)
バニラ,,ba-ni-ra,Vanilla,,Noun (n.)
チョコ,,cyo-ko,Chocolate,,Noun (n.)
ミント,,mi-n-to,Mint,,Noun (n.)
いろ,色,i-ro,Color,,Noun (n.)
オレンジ,,o-re-n-ji,Orange,,Noun (n.)
ピンク,,pi-n-ku,Pink,,Noun (n.)
むらさき,紫,mu-ra-sa-ki,Purple,,Noun (n.)
きいろい,"黄｜色｜い
き｜いろ｜い",ki-i-ro-i,Yellow,,I-Adjective
はく,履く,ha-ku,To wear,"Used for clothings from waist down only (eg. pants, shoes); Godan verb, 履きます is the present polite form",Godan Verb
きる,着る,ki-ru,To wear,"Used for clothings from sholders to waist only (eg. shirts); Ichidan verb, 着ます is the present polite form",Ichidan Verb
シャツ,,sya-tsu,Shirt,,Noun (n.)
サイズ,,sa-i-zu,Size,,Noun (n.)
ごご,"午｜後
ご｜ご",go-go,p.m.,,Noun (n.)
つまらない,"詰｜らない
つま｜らない",tsu-ma-ra-na-i,Boring,,I-Adjective
こわい,怖い,ko-wa-i,Scary,,I-Adjective
