Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ほんや,"本｜屋
ほん｜や",ho-n-ya,Bookstore,,Noun (n.)
セール,,see-ru,Sale,,Noun (n.)
コーナー,,koo-naa,Corner / Section,,Noun (n.)
ノン,,no-n,non-,,Prefix
フィクション,,fi-ku-syo-n,Fiction,,Noun (n.)
SF,,,Science fiction,,Noun (n.)
ドキュメンタリー,,do-kyu-me-n-ta-rii,Documentary,,Noun (n.)
はなし,話,ha-na-shi,Story,,Noun (n.)
あまり,余り,a-ma-ri,not much,"It means much when the connecting verb is positive, and it means not much when the connecting verb is negative (e.g. あまり読みません → doesn’t read much)",Adverb
アニソン,,a-ni-so-n,Anime song,,Noun (n.)
ポップス,,pop-pu-su,Pop music,,Noun (n.)
アルバム,,a-ru-ba-mu,Album,,Noun (n.)
バンド,,ba-n-do,Band,,Noun (n.)
はいゆう,"俳｜優
はい｜ゆう",ha-i-yu-u,Actor,,Noun (n.)
むずかしい,"難｜しい
むずか｜しい",mu-zu-ka-shi-i,Difficult,,I-Adjective
パズル,,pa-zu-ru,Puzzle,,Noun (n.)
カードゲーム,,kaa-do-gee-mu,Card game,,Noun (n.)
ポスター,,po-su-taa,Poster,,Noun (n.)
