Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
トレーニング,,Training,,Noun (n.),to-ree-ni-n-gu
から,,From,"<time> + から → from <time>
<place> + から → from <place>",Particle,ka-ra
ミーティング,,Meeting,,Noun (n.),mii-ti-n-gu
ごご,"午｜後
ご｜ご",Afternoon,,Noun (n.),go-go
まで,迄,Until / To,"<time> + まで → until <time>
<place> + まで → to <place>",Noun (n.),ma-de
カラオケ,,Karaoke,,Noun (n.),ka-ra-o-ke
くらい,,Approximately,No difference with ぐらい,Particle,ku-ra-i
どれくらい,"どれ｜位
どれ｜くらい",(About) how long,,Expression,da-re-ku-ra-i
うけつけ,"受｜付
うけ｜つけ",Reception / Front desk,,Noun (n.),u-ke-tsu-ke
よろしくおねがいします,"よろしくお｜願｜いします
よろしくお｜ねが｜いします",Please remember me / I look forward to working with you,,Expression,yo-ro-shi-ku-o-ne-ga-i-shi-ma-su
プリンター,,Printer,,Noun (n.),pu-ri-n-taa
ごぜん,"午｜前
ご｜ぜん",Morning,,Noun (n.),go-ze-n
しょくどう,"食｜堂
しょく｜どう",Cafeteria,,Noun (n.),syo-ku-do-u
チャーハン,炒飯,Fried rice,,Noun (n.),cyaa-ha-n
ひるやすみ,"昼｜休｜み
ひる｜やす｜み",Lunch break,,Noun (n.),hi-ru-ya-su-mi
フライドポテト,,French fries,,Noun (n.),hu-ra-i-do-po-te-to
パソコン,,Personal computer,,Noun (n.),pa-so-ko-n
プレゼン,,Presentation,,Noun (n.),pu-re-ze-n
クライアント,,Client,,Noun (n.),ku-ra-i-a-n-to
バー,,Bar,,Noun (n.),baa
うたう,歌う,To sing,うたいます is the present polite form,Godan Verb,u-ta-u
さいご,"最｜後
さい｜ご",Last / Final,,Noun (n.),sa-i-go
またあとで,,See you later,,Expression,ma-ta-a-to-de
では,,Then,,Conjunction,de-wa
