Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
はちがつ,"８｜月
はち｜がつ",ha-chi-ga-tsu,August,,Noun (n.)
じゅうがつ,"１０｜月
じゅう｜がつ",jyu-u-ga-tsu,October,,Noun (n.)
じゅうにがつ,"じゅう｜に｜がつ
１｜２｜月",jyu-u-ni-ga-tsu,December,,Noun (n.)
にち,日,ni-chi,nth day (of the month),,Suffix
こんしゅうまつ,"今｜週｜末
こん｜しゅう｜まつ",ko-n-syu-u-ma-tsu,This weekend,,Noun (n.)
おまつり,"お｜祭｜り
お｜まつ｜り",o-ma-tsu-ri,Festival,,Noun (n.)
コンテスト,,ko-n-te-su-to,Contest,,Noun (n.)
はなびたいかい,"花｜火｜大｜会
はな｜び｜たい｜かい",ha-na-bi-ta-i-ka-i,Fireworks display,,Noun (n.)
たいかい,"大｜会
たい｜かい",ta-i-ka-i,Grand event,,Noun (n.)
パレード,,pa-ree-do,Parade,,Noun (n.)
カウントダウン,,ka-u-n-to-da-u-n,Countdown,,Noun (n.)
イルミネーション,,i-ru-mi-nee-syo-n,Lights display / Illumination,,Noun (n.)
ハロウィン,,ha-ro-ui-n,Halloween,,Noun (n.)
おおみそか,"大｜晦日
おお｜みそか",o-o-mi-so-ka,New Year’s Eve,,Noun (n.)
クリスマス,,ku-ri-su-ma-su,Christmas,,Noun (n.)
ませんか,,ma-se-n-ka,Won’t you … / Would you like to …,,Expression
たいこ,"太｜鼓
たい｜こ",ta-i-ko,Drum,,Noun (n.)
たべもの,"食｜べ｜物
た｜べ｜もの",ta-be-mo-no,Food,,Noun (n.)
バナナ,,ba-na-na,Banana,,Noun (n.)
ダンス,,da-n-su,Dance,Usually used for foreign dance styles,Noun (n.)
コミュニティー,,ko-myu-ni-tii,Community,,Noun (n.)
センター,,se-n-taa,Center,,Noun (n.)
