Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ちち,父,chi-chi,Father,,Noun (n.)
はは,母,ha-ha,Mother,,Noun (n.)
あに,兄,a-ni,Older brother,,Noun (n.)
おとうと,弟,o-to-u-to,Younger brother,,Noun (n.)
あね,姉,a-ne,Elder sister,,Noun (n.)
いもうと,妹,i-mo-u-to,Younger sister,,Noun (n.)
よん,四,yo-n,Four (used when counting things),,Other
ご,五,go,Five,,Other
ろく,六,ro-ku,Six,,Other
なな,七,na-na,Seven,,Other
さい,歳,sa-i,Years old,,Counter
おっと,夫,ot-to,Husband,,Noun (n.)
つま,妻,tsu-ma,Wife,,Noun (n.)
むすこ,息子,mu-su-ko,Son,,Noun (n.)
むすめ,娘,mu-su-me,Daughter,,Noun (n.)
うるさい,煩い,u-ru-sa-i,Noisy,,I-Adjective
ゆうめい,有名,yu-u-me-i,Famous,な-adj,Na-adjective
いそがしい,忙しい,i-so-ga-shi-i,Busy,The “ga” might be pronounced as “nga”,I-Adjective
おしゃれ,,o-sha-re,Fashionable,,Na-adjective
あたまがいい,頭がいい,a-ta-ma-ga-i-i,Smart,,I-Adjective
かぞく,"家｜族
か｜ぞく",ka-zo-ku,family,,Noun (n.)
エンジニア,,e-n-ji-ni-a,Engineer,,Noun (n.)
かいしゃいん,"会｜社｜員
かい｜しゃ｜いん",ka-i-sha-i-n,Office worker,,Noun (n.)
かんごし,"看｜護｜師
かん｜ご｜し",ka-n-go-shi,Nurse,,Noun (n.)
だいがくせい,"大｜学｜生
だい｜がく｜せい",da-i-ga-ku-se-i,University student,,Noun (n.)
