Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
たんじょうび,"誕｜生｜日
たん｜じょう｜び",ta-n-jyo-u-bi,Birthday,,Noun (n.)
プレゼント,,pu-re-ze-n-to,Present / Gift,,Noun (n.)
もらう,"貰｜う
もら｜う",mo-ra-u,To receive,もらいました is the past polite form,Godan Verb
うた,歌,u-ta,Song,,Noun (n.)
デート,,dee-to,Date (with someone),,Noun (n.)
おしゃれ,"お｜洒｜落
お｜しゃ｜れ",o-sha-re,Stylish,,Na-adjective
ブラウス,,bu-ra-u-su,Blouse,,Noun (n.)
うでどけい,"腕｜時計
うで｜どけい",u-de-do-ke-i,Watch,,Noun (n.)
ネックレス,,nek-ku-re-su,Necklace,,Noun (n.)
スーツ,,suu-tsu,Suit,,Noun (n.)
えいがかん,"映｜画｜館
えい｜が｜かん",e-i-ga-ka-n,Movie theater,,Noun (n.)
かんとく,"監｜督
かん｜とく",ka-n-to-ku,Director,,Noun (n.)
ひと,人,hi-to,Person,,Noun (n.)
ホットドッグ,,hot-to-dog-gu,Hot dog,,Noun (n.)
ポップコーン,,pop-pu-koo-n,Pop corn,,Noun (n.)
ワイン,,wa-i-n,Wine,,Noun (n.)
ステーキ,,su-tee-ki,Steak,,Noun (n.)
よやく,"予｜約
よ｜やく",yo-ya-ku,Reservation,,Noun (n.)
