Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
を,,o,"Object marker, used directly after a noun to make the noun the object of the sentence",Type “wo”,Particle
Jポップ,,j-pop-pu,J-pop,,Noun (n.)
ロック,,rok-ku,Rock music,,Noun (n.)
ジャズ,,ja-zu,Jazz,,Noun (n.)
おんがく,"音｜楽
おん｜がく",o-n-ga-ku,Music,,Noun (n.)
テレビ,,te-re-bi,Television,,Noun (n.)
アニメ,,a-ni-me,Animation,,Noun (n.)
えいが,"映｜画
えい｜が",e-i-ga,Movie,,Noun (n.)
ほん,本,ho-n,Book,,Noun (n.)
ニュース,,nyuu-su,News,,Noun (n.)
ざっし,"雑｜誌
ざっ｜し",zas-shi,Magazine,,Noun (n.)
まんが,"漫｜画
まん｜が",ma-n-ga,Manga,,Noun (n.)
サッカー,,sak-kaa,Soccer,,Noun (n.)
バスケットボール,,ba-su-ket-to-boo-ru,Basketball,,Noun (n.)
やきゅう,"野｜球
や｜きゅう",ya-kyu-u,Baseball,,Noun (n.)
よく,良く,yo-ku,Often,,Adverb
ときどき,"時｜々
とき｜どき",to-ki-do-ki,Sometimes,,Adverb
みる,見る,mi-ru,Looking / viewing,"Ichidan verb, 見ます is the present polite form",Ichidan Verb
する,,su-ru,Do,"Irregular verb, します is the present polite form",Irregular Verb
よむ,読む,yo-mu,Read,"Godan verb, 読みます is the present polite form",Godan Verb
きく,聞く,ki-ku,listen,"Godan verb, ききます is the present polite form",Godan Verb
