Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
たべる,食べる,ta-be-ru,Eat,"Ichidan verb, 食べます is the present polite form",Ichidan Verb
のむ,飲む,no-mu,Drink,"Godan verb, 飲みます is the present polite form",Godan Verb
やさい,野菜,ya-sa-i,Vegetable,,Noun (n.)
どれ,何れ,do-re,Which (of three or more),,Pronoun
まいにち,"毎｜日
まい｜にち",ma-i-ni-chi,Every day,,Noun (n.)
まいあさ,"毎｜朝
まい｜あさ",ma-i-a-sa,Every morning,,Noun (n.)
まいばん,"毎｜晩
まい｜ばん",ma-i-ba-n,Every night,,Noun (n.)
きゅう,九,kyu-u,Nine,,Other
しち,七,shi-chi,Seven,,Other
じゅう,十,jyu-u,Ten,,Other
パン,,pa-n,Bread,,Noun (n.)
サンドイッチ,,sa-n-do-ic-chi,Sandwich,,Noun (n.)
べんとう,"弁｜当
べん｜とう",be-n-to-u,Bento,,Noun (n.)
コーヒー,"珈琲
コー｜ヒー",koo-hii,Coffee,,Noun (n.)
ジュース,,jyuu-su,Juice,,Noun (n.)
あさごはん,朝ごはん,a-sa-go-ha-n,Breakfast,,Noun (n.)
ひるごはん,昼ごはん,hi-ru-go-ha-n,Lunch,,Noun (n.)
ばんごはん,"晩｜御｜飯
ばん｜ご｜はん",ba-n-go-ha-n,Dinner,,Noun (n.)
