Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
よっつ,四つ,Four (+ something),,Other,yot-tsu
ていしょく,"定｜食
てい｜しょく",Set meal,,Noun (n.),te-i-syo-ku
そば,蕎麦,Soba,,Noun (n.),so-ba
おにぎり,お握り,Onigiri / Rice ball,,Noun (n.),o-ni-gi-ri
うどん,,Udon,,Noun (n.),u-do-n
アイスクリーム,,Ice cream,,Noun (n.),a-i-su-ku-rii-mu
こうちゃ,"紅｜茶
こうちゃ",Black tea,,Noun (n.),ko-u-cha
てんぷら,天ぷら,Tempura,,Noun (n.),te-n-pu-ra
じゃあ,,Well then,,Conjunction,jaa
みっつ,三つ,Three (+ something),,Other,mit-tsu
アイスコーヒー,,Iced coffee,,Noun (n.),a-i-su-koo-hii
ふたつ,二つ,Two (+ something),,Other,hu-ta-tsu
ひとつ,一つ,One (+ something),"Use in counting things, except when [1-9] (arabic numbers) are used",Other,hi-to-tsu
あ,,Ah / Oh,,Other,a
すこし,少し,A bit,,Adverb,su-ko-shi
サラダ,,Salad,,Noun (n.),sa-ra-da
みそしる,"味｜噌｜汁
み｜そ｜しる",Miso soup,,Noun (n.),mi-so-shi-ru
レストラン,,Restaurant,,Noun (n.),re-su-to-ra-n
ええと,,Err… / Umm…,,Expression,e-e-to
