Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
およぐ,泳ぐ,o-yo-ku,Swim,"Godan verb, およぎます is the present polite form",Godan Verb
ヨガ,,yo-ga,Yoga,,Noun (n.)
ゲーム,,gee-mu,Game,,Noun (n.)
パーティー,,paa-tii,Party,,Noun (n.)
ドラマ,,do-ra-ma,Drama,,Noun (n.)
どうが,"動｜画
どう｜が",dou-ga,Video,,Noun (n.)
スポーツ,,su-poo-tsu,Sport,,Noun (n.)
テニス,,te-ni-su,Tennis,,Noun (n.)
からて,"空｜手
から｜て",ka-ra-te,Karate,,Noun (n.)
じゅうどう,"柔｜道
じゅう｜どう",jyuu-dou,Judo,,Noun (n.)
あそぶ,遊ぶ,a-so-bu,Play / Hang out,"Godan verb, あそびます is the present polite form",Godan Verb
かう,買う,ka-u,Buy,"Godan verb, かいます is the present polite form",Godan Verb
でかける,出かける,de-ka-ke-ru,Go out,"Ichidan verb, でかけます is the present polite form",Ichidan Verb
はなす,話す,ha-na-su,Talk,"Godan verb, はなします is the present polite form",Godan Verb
と,,to,With,n. + と → with n.,Particle
どようび,"土｜曜｜日
ど｜よう｜び",do-you-bi,Saturday,,Noun (n.)
にち｜よう｜び,"日｜曜｜日
にち｜よう｜び",ni-chi-you-bi,Sunday,,Noun (n.)
ひとりで,"一｜人｜で
ひと｜り｜で",hi-to-ri-de,Alone,"ひとり → One person
で → By (indicates means of action)",Expression
ともだち,"友｜達
とも｜だち",to-mo-da-chi,Friend,,Noun (n.)
へいじつ,"平｜日
へい｜じつ",he-i-ji-tsu,Weekday,,Noun (n.)
しゅうまつ,"週｜末
しゅう｜まつ",syuu-ma-tsu,Weekend,,Noun (n.)
しごと,"仕｜事
し｜ごと",shi-go-to,Work,,Noun (n.)
きのう,昨日,ki-nou,Yesterday,,Noun (n.)
べんきょう,"勉｜強
べん｜きょう",be-n-kyo-u,Study,,Noun (n.)
しません,,shi-ma-se-n,Not do,Present polite negative form of する,Irregular Verb
しませんでした,,shi-ma-se-n-de-shi-ta,Didn’t do,Past polite negative form of する,Irregular Verb
しました,,shi-ma-shi-ta,Did,Past polite form of する,Irregular Verb
でした,,de-shi-ta,Be (past),Past polite form of です,Other
おととい,一昨日,o-to-to-i,The day before yesterday,,Noun (n.)
