Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
かいさつ,"改｜札
かい｜さつ",ka-i-sa-tsu,Ticket gate,,Noun (n.)
エレベーター,,e-re-bee-taa,Elevator,,Noun (n.)
ホーム,,hoo-mu,Platform,,Noun (n.)
ゴミばこ,ゴミ箱,go-mi-ba-ko,Trash can,,Noun (n.)
のりかえ,乗り換え,no-ri-ka-e,Transfer (n.),,Noun (n.)
おてあらい,"お｜手｜洗｜い
お｜て｜あら｜い",o-te-a-ra-i,Washroom,,Noun (n.)
コンセント,,ko-n-se-n-to,Electrical outlet,,Noun (n.)
かいだん,"階｜段
かい｜だん",ka-i-da-n,Stairs,,Noun (n.)
カフェ,,ka-fe,Cafe,,Noun (n.)
でぐち,"出｜口
で｜ぐち",de-gu-chi,Exit,,Noun (n.)
じはんき,"自｜販｜機
じ｜はん｜き",ji-ha-n-ki,Vending machine,,Noun (n.)
コインロッカー,,ko-i-n-rok-kaa,Coin locker,,Noun (n.)
タクシー,,ta-ku-shii,Taxi,,Noun (n.)
でんわ,"でん｜わ
電｜話",de-n-wa,Phone,,Noun (n.)
あそこ,彼処,a-so-ko,Over there (place physically distant from both speaker and listener),,Pronoun
かい,階,ka-i,Floor,,Counter
いっかい,"一｜階
いっ｜かい",ik-ka-i,First floor,,Noun (n.)
ちか,"地｜下
ち｜か",chi-ka,Underground level,,Noun (n.)
ある,有る,a-ru,To have,"Godan verb, 有ります is the present polite form",Godan Verb
ありません,有りません,a-ri-ma-se-n,Do not have,Present polite negative form of ある,Godan Verb
とおい,遠い,too-i,Far,,I-Adjective
ちかい,近い,chi-ka-i,Close,,I-Adjective
