Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
あし,足,Leg,,Noun (n.),a-shi
たいかい,"大｜会
たい｜かい",Tournament / Competition,,Noun (n.),ta-i-ka-i
わすれる,"忘｜れる
わす｜れる",To forget,わすれます is the present polite form,Ichidan Verb,wa-su-re-ru
ねだん,"値｜段
ね｜だん",Price,,Noun (n.),ne-da-n
しらべる,"調｜べる
しら｜べる",To check,しらべます is the present polite form,Ichidan Verb,shi-ra-be-ru
ハンドジェル,,Hand sanitizer,,Noun (n.),ha-n-do-je-ru
かご,籠,Basket,,Noun (n.),ka-go
よてい,"予｜定
よ｜てい",Plans,,Noun (n.),yo-te-i
すいえい,"水｜泳
すい｜えい",Swimming,,Noun (n.),su-i-e-i
きたない,"汚｜い
きたな｜い",Dirty,,I-Adjective,ki-ta-na-i
すぐ,直ぐ,Right (+ relative position),eg. すぐとなり → Right next to,Adverb,su-gu
グラム,瓦,Gram,,Noun (n.),gu-ra-mu
でる,出る,To attend / To participate,でます is the present polite form,Ichidan Verb,de-ru
ブランケット,,Blanket,,Noun (n.),bu-ra-n-ket-to
ねぼう,"寝｜坊
ね｜ぼう",Sleeping in / Oversleeping,,Noun (n.),ne-bo-u
だから,,So / Therefore,,Conjunction,da-ka-ra
がんばる,頑張る,To do the best / To persevere,がんばります is the present polite form,Godan Verb,ga-n-ba-ru
カード,,Card,,Noun (n.),kaa-do
げんきん,"現｜金
げん｜きん",Cash,,Noun (n.),ge-n-ki-n
けんこうてき,"健｜康｜的
けん｜こう｜てき",Healthy,,Na-adjective,ke-n-ko-u-te-ki
くだもの,果物,Fruit,,Noun (n.),ku-da-mo-no
ロブスター,,Lobster,,Noun (n.),ro-bu-su-taa
オフィス,,Office,,Noun (n.),o-fi-su
そふぼ,"祖｜父｜母
そ｜ふ｜ぼ",Grandparents,,Noun (n.),so-hu-bo
おくれる,"遅｜れ｜る
おく｜れ｜る",To be late,おくれます is the present polite form,Ichidan Verb,o-ku-re-ru
こんど,"今｜度
こん｜ど",This time,,Noun (n.),ko-n-do
やっつ,八つ,Eight,,Other,yat-tsu
りんご,"林｜檎
りん｜ご",Apple,,Noun (n.),ri-n-go
かいがい,"海｜外
かい｜がい",Overseas,,Noun (n.),ka-i-ga-i
いつか,五日,5th of month,,Noun (n.),i-tsu-ka
なでる,撫でる,To caress / To stroke,なでます is the present polite form,Ichidan Verb,na-de-ru
キーホルダー,,Keychain,,Noun (n.),kii-ho-ru-daa
やぎ,山羊,Goat,,Noun (n.),ya-gi
たべほうだい,"食｜べ｜放｜題
た｜べ｜ほう｜だい",All-you-can-eat,,Noun (n.),ta-be-ho-u-da-i
