Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
リゾート,,ri-zoo-to,Resort,,Noun (n.)
みずぎ,"水｜着
みず｜ぎ",mi-zu-gi,Swimsuit,,Noun (n.)
ぬいぐるみ,縫いぐるみ,nu-i-gu-ru-mi,Stuffed toy,,Noun (n.)
ねむい,眠い,ne-mu-i,Sleepy,,I-Adjective
おそく,遅く,o-so-ku,Late,,Adverb
スムージー,,su-muu-jii,Smoothie,,Noun (n.)
ブロッコリー,,bu-rok-ko-rii,Broccoli,,Noun (n.)
ハンバーガー,,ha-n-baa-gaa,Hamburger,,Noun (n.)
プロテイン,,pu-ro-te-i-n,Protein,,Noun (n.)
ファーストフード,,faa-su-to-fuu-do,Fast food,,Noun (n.)
お｜さけ,"お｜酒
お｜さけ",o-sa-ke,Alcohol,,Noun (n.)
たばこ,煙草,ta-ba-ko,Tobacco / Cigarette,,Noun (n.)
すう,吸う,su-u,To smoke (cigarette),すいます is the present polite form,Godan Verb
おこる,怒る,o-ko-ru,To get angry,おこります is the present polite form,Godan Verb
しんじゅく,"新｜宿
しん｜じゅく",shi-n-jyu-ku,Shinjuku,,Noun (n.)
インドネシア,印度尼西亜,i-n-do-ne-shi-a,Indonesia,,Noun (n.)
かん,間,ka-n,Period of time,num. 日間 → num. days,Noun (n.)
いくつ,幾つ,i-ku-tsu,How many,,Adverb
べつ,別,be-tsu,Different,,Noun (n.)
