Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
みなと,港,mi-na-to,Harbour / Port,,Noun (n.)
おきなわ,"沖｜縄
おき｜なわ",o-ki-na-wa,Okinawa,,Noun (n.)
イルカ,海豚,i-ru-ka,Dolphin,,Noun (n.)
とり,鳥,to-ri,Bird,,Noun (n.)
うさぎ,兎,u-sa-gi,Rabbit,,Noun (n.)
あんぜん,"安｜全
あん｜ぜん",a-n-ze-n,Safe,,Na-adjective
いっしゅう,"一｜週
いっ｜しゅう",is-syu-u,One week,,Noun (n.)
ベンチ,,be-n-chi,Bench,,Noun (n.)
しょうかい,"紹｜介
しょう｜かい",syo-u-ka-i,Introduction,,Noun (n.)
こわれる,壊れる,ko-wa-re-ru,To be broken,こわれます is the present polite form,Ichidan Verb
マラソン,,ma-ra-so-n,Marathon,,Noun (n.)
アラーム,,a-raa-mu,Alarm,,Noun (n.)
ごはん,ご飯,go-ha-n,Cooked rice,,Noun (n.)
じゅっかい,十階,jyuk-ka-i,Tenth floor,,Noun (n.)
じっかい,十階,jik-ka-i,Tenth floor,Uncommon,Noun (n.)
たくない,,ta-ku-na-i,Don’t want to …,"v. (-masu stem) + たくない → Don’t want to v.;
たい is i-adj, drop the い to make it くない form → たくない",Other
おかゆ,お粥,o-ka-yu,Porridge,,Noun (n.)
キャンセル,,kya-n-se-ru,Cancellation,,Noun (n.)
ミニゴルフ,,mi-ni-go-ru-hu,Minigolf,,Noun (n.)
うみがめ,"海｜亀
うみ｜がめ",u-mi-ga-me,Sea turtule,,Noun (n.)
でる,出る,de-ru,To get out / To leave,でます is the present polite form,Ichidan Verb
タコライス,,ta-ko-ra-i-su,Taco rice,,Noun (n.)
おそい,"遅｜い
おそ｜い",o-so-i,Slow,,I-Adjective
だ,,da,Be / Is,Informal form of です,Other
サーフィン,,saa-fi-n,Surfing,,Noun (n.)
もう,,mo-u,More / Again,,Adverb
おおや,"大｜家
おお｜や",o-o-ya,Landlord,,Noun (n.)
やたい,"屋｜台
や｜たい",ya-ta-i,Food stall,,Noun (n.)
もち,餅,mo-chi,Mochi,,Noun (n.)
ふくおか,"福｜岡
ふく｜おか",hu-ku-o-ka,Fukuoka,,Noun (n.)
おおさか,"大｜阪
おお｜さか",o-o-sa-ka,Osaka,,Noun (n.)
やきそば,焼きそば,ya-ki-so-ba,Yakisoba / Fried noodles,,Noun (n.)
ろっぷん,六分,rop-pu-n,Six minutes,,Noun (n.)
で,出,de,Coming out,,Noun (n.)
ちょうし,"調｜子
ちょう｜し",cyo-u-shi,State of health,,Noun (n.)
いれる,入れる,i-re-ru,To make (a reservation),いれます is the present polite form,Ichidan Verb
パンダ,,pa-n-da,Panda,,Noun (n.)
カモ,鴨,ka-mo,Duck,,Noun (n.)
アナウンス,,a-na-u-n-su,Announcement,,Noun (n.)
ふね,船,hu-ne,Ship,,Noun (n.)
けっこう,"結｜構
けっ｜こう",kek-ko-u,Quite a bit,,Adverb
まわる,"回｜る
まわ｜る",ma-wa-ru,To go around (several places) / To travel around,まわります is the present polite form,Godan Verb
パイナップル,,pa-i-nap-pu-ru,Pineapple,,Noun (n.)
まじめ,真面目,ma-ji-me,Serious,,Na-adjective
スキル,,su-ki-ru,Skill,,Noun (n.)
しちがつ,"七｜月
しち｜がつ",shi-chi-ga-tsu,July,,Noun (n.)
よんせん,"四｜千
よん｜せん",yo-n-se-n,Four thousand,,Other
オリエンテーション,,o-ri-e-n-tee-syo-n,Orientation,,Noun (n.)
ななひゃく,"七｜百
なな｜ひゃく",na-na-hya-ku,Seven hundred,,Other
きゅうひゃく,"九｜百
きゅう｜ひゃく",kyu-u-hya-ku,Nine hundred,,Other
ね,,ne,You know,Used at the end of the sentence,Particle
リモコン,,ri-mo-ko-n,Remove control,,Noun (n.)
ななふん,"七｜分
なな｜ふん",na-na-hu-n,Seven minutes,,Noun (n.)
ここのつ,"九｜つ
ここの｜つ",ko-ko-no-tsu,Nine,,Other
がわ,側,ga-wa,Side,,Suffix
まどがわ,"窓｜側
まど｜がわ",ma-do-ga-wa,Window side,,Noun (n.)
ターミナル,,taa-mi-na-ru,Terminal,,Noun (n.)
