Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
おりる,"降｜りる
お｜りる",o-ri-ru,To get off / To alight,おります is the present polite form,Ichidan Verb
のりかえる,"乗｜り｜換｜える
の｜り｜か｜える",no-ri-ka-e-ru,To transfer,のりかえます is the present polite form,Ichidan Verb
ばん,番,ba-n,Number (in a series),,Noun (n.)
モノレール,,mo-no-ree-ru,Monorail,,Noun (n.)
かいそく,"快｜速
かい｜そく",ka-i-so-ku,High speed / Rapid,,Noun (n.)
ツアー,,tsu-aa,Tour,,Noun (n.)
インフォメーション,,i-n-fo-mee-syo-n,Information desk,,Noun (n.)
うりば,"売｜り｜場
う｜り｜ば",u-ri-ba,Selling area,,Noun (n.)
はらう,"払｜う
はら｜う",ha-ra-u,To pay,はらいます is the present polite form,Godan Verb
きた,北,ki-ta,North,,Noun (n.)
みなみ,南,mi-na-mi,South,,Noun (n.)
くち,口,ku-chi,Gate / Exit,,Noun (n.)
きたぐち,"北｜口
きた｜ぐち",ki-ta-gu-chi,North exit,,Noun (n.)
みなみぐち,"南｜口
みなみ｜ぐち",mi-na-mi-gu-chi,South exit,,Noun (n.)
エスカレーター,,e-su-ka-ree-taa,Esculator,,Noun (n.)
よぶ,"呼｜ぶ
よ｜ぶ",yo-bu,To call,よびます is the present polite form,Godan Verb
さんびゃく,"三｜百
さん｜びゃく",sa-n-bya-ku,Three hundred,,Other
はっぴゃく,"八｜百
はっ｜ぴゃく",hap-pya-ku,Eight hundred,,Other
きれい,"綺｜麗
き｜れい",ki-re-i,Clean,,Na-adjective
オレンジ,,o-re-n-ji,Orange,,Noun (n.)
のみもの,"飲｜み｜物
の｜み｜もの",no-mi-mo-no,Drink,,Noun (n.)
ゆっくり,,yuk-ku-ri,Leisurely / Slowly,,Adverb
ゆっくりします,,yuk-ku-ri-shi-ma-su,To relax,,Expression
ええ,,e-e,Yes / That is correct,,Other
そう,然う,so-u,In that way,,Adverb
