Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ステージ,,su-tee-ji,Stage,,Noun (n.)
すわる,"座｜る
すわ｜る",su-wa-ru,To sit,すわります is the present polite form,Godan Verb
たい,,ta-i,Want to do …,v. (-masu stem) + たい → Want to v.,Other
また,又,ma-ta,Again,,Adverb
もう,,mo-u,Already,,Adverb
アーティスト,,aa-ti-su-to,Artist,,Noun (n.)
まんなか,"真｜ん｜中
ま｜ん｜なか",ma-n-na-ka,Middle,,Noun (n.)
そと,外,so-to,Outside,,Noun (n.)
ひがし,東,hi-ga-shi,East,,Noun (n.)
ひがしぐち,"東｜口
ひがし｜ぐち",hi-ga-shi-gu-chi,East exit,,Noun (n.)
もどる,"戻｜る
もど｜る",mo-do-ru,To return,もどります is the present polite form,Godan Verb
ならぶ,"並｜ぶ
なら｜ぶ",na-ra-bu,To line up,ならびます is the present polite form,Godan Verb
はやく,"早｜く
はや｜く",ha-ya-ku,Quickly,,Adverb
ペン,,pe-n,Pen,,Noun (n.)
サイン,,sa-i-n,Autograph / Signature,,Noun (n.)
グッズ,,guz-zu,Goods / Merchandise,,Noun (n.)
つかれる,"疲｜れる
つか｜れる",tsu-ka-re-ru,To get tired,"つかれます is the present polite form
つかれますた → I’m tired / I got tired",Ichidan Verb
