Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
いなか,田舎,i-na-ka,Rural area / Countryside,,Noun (n.)
き,木,ki,Tree,,Noun (n.)
くうき,"空｜気
くう｜き",ku-u-ki,Air,,Noun (n.)
だいがく,"大｜学
だい｜がく",da-i-ga-ku,University,,Noun (n.)
こうこう,"高｜校
こう｜こう",ko-u-ko-u,High school,,Noun (n.)
れきし,"歴｜史
れき｜し",re-ki-shi,History,,Noun (n.)
せんせい,"先｜生
せん｜せい",se-n-se-i,Teacher / Professor,,Noun (n.)
クラスメイト,,ku-ra-su-me-i-to,Classmate,,Noun (n.)
しんせつ,"親｜切
しん｜せつ",shi-n-se-tsu,Kind,,Na-adjective
はいる,入る,ha-i-ru,To enroll,はいります is the present polite form,Godan Verb
そつぎょう,"卒｜業
そつ｜ぎょう",so-tsu-gyo-u,Graduation,,Noun (n.)
となり,隣,to-na-ri,Neighboring,となり + の + n. → Neighboring n.,Noun (n.)
ショッピング,,syop-pi-n-gu,Shopping,,Noun (n.)
ふくや,"服｜屋
ふく｜や",hu-ku-ya,Clothing shop,,Noun (n.)
スタジアム,,su-ta-ji-a-mu,Stadium,,Noun (n.)
コート,,koo-to,"Court (e.g. tennis, basketball, volleyball)",,Noun (n.)
ゆうびんきょく,"郵｜便｜局
ゆう｜びん｜きょく",yu-u-bi-n-kyo-ku,Post office,,Noun (n.)
ぎんこう,"銀｜行
ぎん｜こう",gi-n-ko-u,Bank,,Noun (n.)
ドラックストア,,ko-rak-ku-su-to-a,Drugstore,,Noun (n.)
しまる,閉まる,shi-ma-ru,To close,しまります is the present polite form,Godan Verb
あう,会う,a-u,To see,あいます is the present polite form,Godan Verb
ふべん,"不｜便
ふ｜べん",hu-be-n,Inconvenient,,Na-adjective
アメフト,,a-me-hu-to,American football,,Noun (n.)
えんぴつ,"鉛｜筆
えん｜ぴつ",e-n-pi-tsu,Pencil,,Noun (n.)
そして,而して,so-shi-te,And,,Conjunction
