Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ジーンズ,,jii-n-zu,Jeans,,Noun (n.)
くつした,"靴｜下
くつ｜した",ku-tsu-shi-ta,Socks,,Noun (n.)
セーター,,see-taa,Sweater,,Noun (n.)
パーカー,,paa-kaa,Hoodie / Parka,,Noun (n.)
マフラー,,ma-hu-raa,Scarf,,Noun (n.)
アクセサリー,,a-ku-se-sa-rii,Accessory,,Noun (n.)
レディース,,re-dii-su,Ladies’,,Noun (n.)
メンズ,,me-n-zu,Men’s,,Noun (n.)
まず,先ず,ma-zu,First (of all) / Firstly,,Adverb
まっすぐ,"真｜っ｜直｜ぐ
ま｜っ｜す｜ぐ",mas-su-gu,Straight,,Na-adjective
ひだり,左,hi-da-ri,Left,,Noun (n.)
みぎ,右,mi-gi,Right,,Noun (n.)
まがる,曲がる,ma-ga-ru,To turn,まがります is the present polite form,Godan Verb
あがる,上がる,a-ga-ru,To go up,あがります is the present polite form,Godan Verb
てんいん,"てん｜いん
店｜員",te-n-i-n,Employee of a store / Salesperson,It is usually used with the -さん suffix to show politeness,Noun (n.)
レジ,,re-ji,Cash register,,Noun (n.)
ポイントカード,,po-i-n-to-kaa-do,Point card / Reward card,,Noun (n.)
むらさき,紫,mu-ra-sa-ki,Purple,,Noun (n.)
ボロボロ,,bo-ro-bo-ro,Worn-out,,Noun (n.)
ふわふわ,,hu-wa-hu-wa,Fluffy,,Noun (n.)
キラキラ,,ki-ra-ki-ra,Sparkling,,Adverb
はっせん,"八｜千
はっ｜せん",has-se-n,Eight thousand,,Other
この,此の,ko-no,These (a noun must be followed),,Other
こんど,"今｜度
こん｜ど",ko-n-do,Next time,,Noun (n.)
で,,de,So / Therefore,,Conjunction
