Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
しがつ,"四｜月
し｜がつ",shi-ga-tsu,April,,Noun (n.)
くない,,ku-na-i,For negating an i-adjective,i-adj. (without the ending い) + くない → Not i-adj.,Suffix
あまり,余り,a-ma-ri,Not very,"It means very when the connecting adjective is positive, and it means not very when the connecting adjective is negative (e.g. あまりさむくない → not very cold)",Adverb
にがつ,"二｜月
に｜がつ",ni-ga-tsu,February,,Noun (n.)
スノボ,,su-no-bo,Snowboarding,,Noun (n.)
さくら,桜,sa-ku-ra,Cherry blossom,,Noun (n.)
さく,咲く,sa-ku,To bloom,さきます is the present polite form,Godan Verb
すいか,"西｜瓜
す｜いか",su-i-ka,Watermelon,,Noun (n.)
つける,点ける,tsu-ke-ru,To turn on,つけます is the present polite form,Ichidan Verb
トロント,,to-ro-n-to,Toronto,,Noun (n.)
さつまいも,さつま芋,sa-tsu-ma-i-mo,Sweet potato,,Noun (n.)
だんぼう,"暖｜房
だん｜ぼう",da-n-bo-u,Heating / Heater,,Noun (n.)
いちがつ,"一｜月
いち｜がつ",i-chi-ga-tsu,January,,Noun (n.)
なべ,鍋,na-be,Hot pot,,Noun (n.)
スケート,,su-kee-to,Skating,,Noun (n.)
みかん,蜜柑,mi-ka-n,Mandarin orange,,Noun (n.)
スキー,,su-kii,Skiing,,Noun (n.)
こと,事,ko-to,Thing,,Noun (n.)
くがつ,"九｜月
く｜がつ",ku-ga-tsu,September,,Noun (n.)
