Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
さんがつ,"三｜月
さん｜がつ",sa-n-ga-tsu,March,,Noun (n.)
よっか,四日,yok-ka,4th day of the month,,Noun (n.)
で,,de,By,eg. バスで → By bus,Particle
ひさしぶり,"久｜しぶり
ひさ｜しぶり",hi-sa-shi-bu-ri,Long time no see,,Expression
さいきん,"最｜近
さい｜きん",sa-i-ki-n,Recently,,Noun (n.)
そろそろ,,so-ro-so-ro,Soon / In a bit,,Adverb
ゆうがた,"夕｜方
ゆう｜がた",yu-u-ga-ta,Early evening (usually from 3pm to 6pm),,Noun (n.)
かえる,帰る,ka-e-ru,To go home,かえります is the present polite form,Godan Verb
なる,成る,na-ru,To reach / To turn / To become,なります is the present polite form,Godan Verb
はたち,二十歳,ha-ta-chi,Twenty years old,,Noun (n.)
さいたま,"埼｜玉
さい｜たま",sa-i-ta-ma,Saitama,,Noun (n.)
くるま,車,ku-ru-ma,Car,,Noun (n.)
じてんしゃ,"自｜転｜車
じ｜てん｜しゃ",ji-te-n-sya,Bike,,Noun (n.)
よぶ,"呼｜ぶ
よ｜ぶ",yo-bu,To invite,よびます is the present polite form,Godan Verb
まえに,"前｜に
まえ｜に",ma-e-ni,Before,Must be preceded and followed by verbs,Adverb
ようじ,"用｜事
よう｜じ",yo-u-ji,Things to do,,Noun (n.)
かたづける,"片｜付｜ける
かた｜づ｜ける",ka-ta-zu-ke-ru,To tidy up,かたづけます is the present polite form,Ichidan Verb
