Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
みずうみ,湖,mi-zu-u-mi,Lake,,Noun (n.)
むら,村,mu-ra,Village,,Noun (n.)
もり,森,mo-ri,Forest,,Noun (n.)
まわり,周り,ma-wa-ri,Surroundings / Neighbourhood,,Noun (n.)
ふつかかん,二日間,hu-tsu-ka-ka-n,A period of two days,More formal than ふつか（二日）,Noun (n.)
じゅういちがつ,十一月,jyu-u-i-chi-ga-tsu,November,,Noun (n.)
か,日,,Counter for days,,Counter
か,日,,Day of month,,Suffix
なんかかん,"何｜日｜間
なん｜か｜かん",na-n-ka-ka-n,How many days,,Expression
りょかん,"旅｜館
りょ｜かん",ryo-ka-n,Traditional Japanese inn,,Noun (n.)
たたみ,畳,ta-ta-mi,Tatami mat,,Noun (n.)
いりくち,入口,i-ri-ku-chi,Entrance,,Noun (n.)
ぬぐ,脱ぐ,nu-gu,To take off,ねぎます is the present polite form,Godan Verb
りっぱ,"立｜派
りっ｜ぱ",rip-pa,Splendid,,Na-adjective
よく,良く,yo-ku,Nicely / Well,,Adverb
かならず,"必｜ず
かなら｜ず",ka-na-ra-zu,Certainly,,Adverb
しんせん,"新｜鮮
しん｜せん",shi-n-se-n,Fresh,,Na-adjective
きせつ,"季｜節
き｜せつ",ki-se-tsu,Season,,Noun (n.)
さしみ,"刺｜身
さし｜み",sa-shi-mi,Sashimi,,Noun (n.)
マンゴー,芒果,ma-n-goo,Mango,,Noun (n.)
きのこ,茸,ki-no-ko,Mushroom,,Noun (n.)
ストロー,,su-to-roo,Straw,,Noun (n.)
スタッフ,,su-taf-fu,Staff,,Noun (n.)
おきゃくさん,"お｜客｜さん
お｜きゃく｜さん",o-kya-ku-sa-n,Guest,Honorific language,Noun (n.)
レビュー,,re-byuu,Review,,Noun (n.)
