Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
いちにちじゅう,"一｜日｜中
いち｜にち｜じゅう",All day long,,Adverb,i-chi-ni-chi-jyu-u
なにも,"何｜も
なに｜も",(Not) … anything,"Only used with negative verbs
何もしませんでした → Didn’t do anything",Expression,na-ni-mo
いる,居る,To stay,います is the present polite form,Ichidan Verb,i-ru
あける,開ける,To open,"あけます is the present polite form;
Transitive verb",Ichidan Verb,a-ke-ru
ぜんぜん,"全｜然
ぜん｜ぜん",(Not) … at all,Only used in negative sentence,Adverb,ze-n-ze-n
ねつ,熱,Fever,,Noun (n.),ne-tsu
かぜ,風邪,Flu / Cold,,Noun (n.),ka-ze
ひく,引く,To catch (a cold),ひきます is the present polite form,Godan Verb,hi-ku
やすむ,"休｜む
やす｜む",To be absent,やすみます is the present polite form,Godan Verb,ya-su-mu
ノート,,Notebook,,Noun (n.),noo-to
かる,借る,To borrow,かります is the present polite form,Godan Verb,ka-ru
マスク,,Mask,,Noun (n.),ma-su-ku
ビタミン,,Vitamin,,Noun (n.),bi-ta-mi-n
ティッシュ,,Tissue,,Noun (n.),tis-syu
あとで,"後｜で
あと｜で",Later,,Expression,a-to-de
ちゅうもん,"注｜文
ちゅう｜もん",Order,,Noun (n.),cyu-u-mo-n
にがい,"苦｜い
にが｜い",Bitter,,I-Adjective,ni-ga-i
またね,,Bye / See you later,,Expression,ma-ta-ne
