Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
もん,門,Gate,,Noun (n.),mo-n
こんげつ,"今｜月
こん｜げつ",This month,,Noun (n.),ko-n-ge-tsu
フェンス,,Fence,,Noun (n.),fe-n-su
スリッパ,,Slipper,,Noun (n.),su-rip-pa
おくさん,"奥｜さ｜ん
おく｜さ｜ん",Wife,,Noun (n.),o-ku-sa-n
げんかん,"玄｜関
げん｜かん",Entrance / Entraceway,,Noun (n.),ge-n-ka-n
ドア,,Door,,Noun (n.),do-a
かべ,壁,Wall,,Noun (n.),ka-be
だんな,"旦｜那
だん｜な",Husband,"Casual;
Formal → だんあさん",Noun (n.),da-n-na
ソファ,,Sofa,,Noun (n.),so-fa
ペット,,Pet,,Noun (n.),pet-to
かぐ,"家｜具
か｜ぐ",Furniture,,Noun (n.),ka-gu
あいだ,間,Between / During / While,,Noun (n.),a-i-da
ダイニング,,Dining room,,Noun (n.),da-i-ni-n-gu
かびん,"花｜瓶
か｜びん",Vase,,Noun (n.),ka-bi-n
てづくり,"手｜作｜り
て｜づく｜り",Handmade,,Noun (n.),te-zu-ku-ri
ある,有る,To be located,有ります is the present polite form,Godan Verb,a-ru
ながら,"乍｜ら
なが｜ら",While,After -masu stem of verb,Particle,na-ga-ra
どくしょ,"読｜書
どく｜しょ",Reading,,Noun (n.),do-ku-syo
