Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ゴミ,,go-mi,Rubbish / Trash,,Noun (n.)
ゴキブリ,,go-ki-bu-ri,Cockroach,,Noun (n.)
にし,西,ni-shi,West,,Noun (n.)
シャトルバス,,sya-to-ru-ba-su,Shuttle bus,,Noun (n.)
こうこく,"広｜告
こう｜こく",ko-u-ko-ku,Advertisement,,Noun (n.)
カーテン,,kaa-te-n,Curtain,,Noun (n.)
うすい,"薄｜い
うす｜い",u-su-i,Thin,,I-Adjective
よっかかん,"四｜日｜間
よっ｜か｜かん",yok-ka-ka-n,Four days,,Noun (n.)
ろっかい,"六｜階
ろっ｜かい",rok-ka-i,Sixth floor,,Noun (n.)
ぬるい,"温｜い
ぬる｜い",nu-ru-i,Lukewarm,,I-Adjective
シャンプー,,sya-n-puu,Shampoo,,Noun (n.)
シリアル,,shi-ri-a-ru,Cereal,,Noun (n.)
ほか,他,ho-ka,Another / Other,Grammar: ほか + の + n. → Other n.,Noun (n.)
もう,,mo-u,(Not) anymore,Only used in negative sentence,
ベタベタ,,be-ta-be-ta,Sticky,,Na-adjective
わるい,悪い,wa-ru-i,Bad,,I-Adjective
