Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ゆか,床,yu-ka,Floor,,Noun (n.)
ろくがつ,"六｜月
ろく｜がつ",ro-ku-ga-tsu,June,,Noun (n.)
なのか,七日,na-no-ka,7th day of the month,,Noun (n.)
こんかい,"今｜回
こん｜かい",ko-n-ka-i,This time,,Noun (n.)
ダサい,,da-sa-i,Tacky / Uncool,,I-Adjective
さいあく,"最｜悪
さい｜あく",sa-i-a-ku,The worst,,Na-adjective
ざんねん,"残｜念
ざん｜ねん",za-n-ne-n,Disappointing / Unfortunate,,Na-adjective
けんか,"喧｜嘩
けん｜か",ke-n-ka,Fight / Quarrel,,Noun / Suru Verb
れつ,列,re-tsu,Line / Queue,,Noun (n.)
こむ,込む,ko-mu,To be crowded,,Godan Verb
こんでいます,込んでいます,ko-n-de-i-ma-su,Crowded,込む + ている,Expression
おばけやしき,"お｜化｜け｜屋｜敷
お｜ば｜け｜や｜しき",o-ba-ke-ya-shi-ki,Haunted house,,Noun (n.)
えんぎ,"演｜技
えん｜ぎ",e-n-gi,Acting,,Noun (n.)
シーン,,shii-n,Scene,,Noun (n.)
かたい,"硬｜い
かた｜い",ka-ta-i,Hard / Tough / Stiff,,I-Adjective
メイン,,me-i-n,Main dish,,Noun (n.)
だけ,丈,da-ke,Only,n. + だけ → Only n.,Particle
きっと,屹度,kit-to,Surely,,Adverb
アプリ,,a-pu-ri,App,,Noun (n.)
わかれる,"別｜れる
わか｜れる",wa-ka-re-ru,To break up,わかれます is the present polite form,Ichidan Verb
もんだい,"問｜題
もん｜だい",mo-n-da-i,Problem,,Noun (n.)
しる,知る,shi-ru,To know,,Godan Verb
しっています,知っています,shit-te-i-ma-su,Know,知る + ている,Expression
かのじょ,"彼｜女
かの｜じょ",ka-no-jyo,She,,Pronoun
かれし,"彼｜氏
かれ｜し",ka-re-shi,He,,Pronoun
