Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ねんせい,"年｜生
ねん｜せい",ne-n-se-i,nth-year student,,Suffix
よねんせい,"四｜年｜生
よ｜ねん｜せい",yo-ne-n-se-i,Fourth-year student,,Noun (n.)
せんこう,"専｜攻
せん｜こう",se-n-ko-u,Major,,Noun (n.)
すうがく,"数｜学
すう｜がく",su-u-ga-ku,Mathematics,,Noun (n.)
ビジネス,,bi-ji-ne-su,Business,,Noun (n.)
キャンパス,,kya-n-pa-su,Campus,,Noun (n.)
サークル,,saa-ku-ru,Club,,Noun (n.)
はいる,"入｜る
はい｜る",ha-i-ru,To join,はいります is the present polite form,Godan Verb
ボランティア,,bo-ra-n-ti-a,Volunteer,,Noun (n.)
ボード,,boo-do,Board,,Noun (n.)
チェス,,che-su,Chess,,Noun (n.)
ドイツ,独逸,do-i-tsu,Germany,,Noun (n.)
フィリピン,比律賓,fi-ri-pi-n,Philippines,,Noun (n.)
げんご,"言｜語
げん｜ご",ge-n-go,Language,,Noun (n.)
タガログ,,ta-ga-ro-gu,Tagalog,,Noun (n.)
りょう,寮,ryo-u,Dormitory,,Noun (n.)
ルームメイト,,ruu-mu-me-i-to,Roomate,,Noun (n.)
ぼく,僕,bo-ku,I,,Pronoun
