Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
なく,泣く,na-ku,To cry,なきます is the present polite form,Godan Verb
かんどう,"感｜動
かん｜どう",ka-n-do-u,Being deeply moved emotionally,,Noun / Suru Verb
しんせき,"親｜戚
しん｜せき",shi-n-se-ki,Relative,,Noun (n.)
しんぷ,"新｜婦
しん｜ぷ",shi-n-pu,Bride,,Noun (n.)
しんろう,"新｜郎
しん｜ろう",shi-n-ro-u,Bridegroom / Groom,,Noun (n.)
けっこんしき,"結｜婚｜式
けっ｜こん｜しき",kek-ko-n-shi-ki,Wedding / Marriage ceremony,,Noun (n.)
かいじょう,"会｜場
かい｜じょう",ka-i-jyo-u,Venue / Assembly hall,,Noun (n.)
カーペット,,kaa-pet-to,Carpet,,Noun (n.)
うつくしい,"美｜しい
うつく｜しい",u-tsu-ku-shi-i,Beautiful,,I-Adjective
むいか,六日,mu-i-ka,6th day of the month,,Noun (n.)
ゲスト,,ge-su-to,Guest,,Noun (n.)
あいさつ,"挨｜拶
あい｜さつ",a-i-sa-tsu,Greeting,,Noun / Suru Verb
かしゅ,"歌｜手
か｜しゅ",ka-syu,Singer,,Noun (n.)
スピーチ,,su-pii-chi,Speech,,Noun (n.)
へん,変,he-n,Strange / Weird,,Na-adjective
ひくい,"低｜い
ひく｜い",hi-ku-i,Low,,I-Adjective
ひどい,"酷｜い
ひど｜い",hi-do-i,Terrible,,I-Adjective
