Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
にんき,"人｜気
にん｜き",ni-n-ki,Popularity,,Noun (n.)
ねこ,猫,ne-ko,Cat,,Noun (n.)
いぬ,犬,i-nu,Dog,,Noun (n.)
ハムスター,,ha-mu-su-taa,Hamster,,Noun (n.)
カメレオン,,ka-me-re-o-n,Chameleon,,Noun (n.)
どうぶつ,"動｜物
どう｜ぶつ",do-u-bu-tsu,Animal,,Noun (n.)
へや,部屋,he-ya,Room,,Noun (n.)
すみ,隅,su-mi,Corner,,Noun (n.)
ひき,匹,hi-ki,Counter for small animals,,Counter
いっぴき,"一｜匹
いっ｜ぴき",ip-pi-ki,One (small animal),,Noun (n.)
さんびき,"三｜匹
さん｜びき",sa-n-bi-ki,Three (small animals),,Noun (n.)
なんびき,"何｜匹
なん｜びき",na-n-bi-ki,How many (small animals),,Expression
みみ,耳,mi-mi,Ear,,Noun (n.)
め,目,me,Eye,,Noun (n.)
くち,口,ku-chi,Mouth,,Noun (n.)
はな,鼻,ha-na,Nose,,Noun (n.)
カプチーノ,,ka-pu-chii-no,Cappuccino,,Noun (n.)
パン,,pa-n,Pan,,Noun (n.)
トマト,,to-ma-to,Tomato,,Noun (n.)
ちゃいろ,"茶｜色
ちゃ｜いろ",cha-i-ro,Brown,,Noun (n.)
カラフル,,ka-ra-hu-ru,Colorful,,Na-adjective
