Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ほっかいどう,北海道,hok-ka-i-do-u,Hokkaido,,Noun (n.)
けしき,景色,ke-shi-ki,Scenery / Views,,Noun (n.)
かわ,川,ka-wa,River,,Noun (n.)
ごがつ,"５｜月
ご｜がつ",go-ga-tsu,May,,Noun (n.)
ついたち,１日,tsu-i-ta-chi,1st of month,,Noun (n.)
たのしむ,"楽｜し｜む
たの｜し｜む",ta-no-shi-mu,To enjoy,たのしみます is the present polite form,Godan Verb
バックパック,,bak-ku-pak-ku,Backpack,,Noun (n.)
ハイキング,,ha-i-ki-n-gu,Hiking,,Noun (n.)
キャンプ,,kya-n-pu,Camping,,Noun (n.)
ピクニック,,pi-ku-nik-ku,Picnic,,Noun (n.)
バーベキュー,,baa-be-kyuu,Barbecue,,Noun (n.)
ちょっと,一寸,chot-to,Does not work very well,,Expression
だいじょうぶ,"大｜丈｜夫
だい｜じょう｜ぶ",da-i-jyo-u-bu,Okay,,Na-adjective
はやい,"早｜い
はや｜い",ha-ya-i,Early,,I-Adjective
くらい,"暗｜い
くら｜い",ku-ra-i,Dark,,I-Adjective
すずしい,"涼｜し｜い
すず｜し｜い",su-zu-shi-i,Cool,,I-Adjective
そと,外,so-to,Outside,,Noun (n.)
ぎゅうにく,"牛｜肉
ぎゅう｜にく",gyu-u-ni-ku,Beef,,Noun (n.)
シーフード,,shii-huu-do,Seafood,,Noun (n.)
こしょう,"胡｜椒
こ｜しょう",ko-syo-u,Pepper,,Noun (n.)
やく,焼く,ya-ku,To grill,やきます is the present polite form,Godan Verb
