Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
チェックイン,,chek-ku-i-n,Check-in,,Noun (n.)
チェックアウト,,chek-ku-a-u-to,Check-out,,Noun (n.)
ルームサービス,,ruu-mu-saa-bi-su,Room service,,Noun (n.)
とまる,"泊｜まる
と｜まる",to-ma-ru,To stay,とまります is the present polite form,Godan Verb
さんがい,"三｜階
さん｜がい",sa-n-ga-i,Third floor,,Noun (n.)
よんかい,"四｜階
よん｜かい",yo-n-ka-i,Forth floor,,Noun (n.)
かぎ,鍵,ka-gi,Key,,Noun (n.)
ネット,,net-to,Internet,,Noun (n.)
パスワード,,pa-su-waa-do,Password,,Noun (n.)
タオル,,ta-o-ru,Towel,,Noun (n.)
スパ,,su-pa,Spa,,Noun (n.)
コーヒーメーカー,,koo-hii-mee-kaa,Coffee maker,,Noun (n.)
うしろ,"後｜ろ
うし｜ろ",u-shi-ro,Back / Behind,,Noun (n.)
となり,隣,to-na-ri,Next to,,Noun (n.)
まえ,前,ma-e,In front of,,Noun (n.)
クレジットカード,,ku-re-jit-to-kaa-do,Credit card,,Noun (n.)
むりょう,"無｜料
む｜りょう",mu-ryo-u,Free,,Noun (n.)
ふつか,２日,hu-tsu-ka,2nd of month,,Noun (n.)
みっか,３日,mik-ka,3rd of month,,Noun (n.)
さがす,"探｜す
さが｜す",sa-ga-su,To search for / To look for,さがします is the present polite form,Godan Verb
こおり,氷,ko-o-ri,Ice,,Noun (n.)
トースト,,too-su-to,Toast,,Noun (n.)
ぎゅうにゅう,牛乳,gyu-u-nyu-u,Milk,,Noun (n.)
うえ,上,u-e,Above,,Noun (n.)
ところで,"所｜で
ところ｜で",to-ko-ro-de,By the way,,Conjunction
