Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
きのう,昨日,ki-no-u,Yesterday,,Noun (n.)
せんしゅう,"先｜週
せん｜しゅう",se-n-syu-u,Last week,,Adverb
せんげつ,"先｜月
せん｜げつ",se-n-ge-tsu,Last month,,Noun (n.)
きょねん,"去｜年
きょ｜ねん",kyo-ne-n,Last year,,Noun (n.)
ぎんざ,"ぎん｜ざ
銀｜座",gi-n-za,Ginza,,Noun (n.)
ちば,"千｜葉
ち｜ば",chi-ba,Chiba,,Noun (n.)
かぶき,"歌｜舞｜伎
か｜ぶ｜き",ka-bu-ki,Kabuki performance,,Noun (n.)
え,絵,e,Painting,,Noun (n.)
すいぞくかん,"水｜族｜館
すい｜ぞく｜かん",su-i-zo-ku-ka-n,Aquarium,,Noun (n.)
ぶんか,"文｜化
ぶん｜か",bu-n-ka,Culture,,Noun (n.)
はじめて,"初｜めて
はじ｜めて",ha-ji-me-te,For the first time,,Adverb
しました,,shi-ma-shi-ta,Did,Past polite form of する,Irregular Verb
みつける,見つける,mi-tsu-ke-ru,To find,"見つけます is the present polite form
見つけました is the past polite form",Ichidan Verb
クレープ,,ku-ree-pu,Crepe,,Noun (n.)
ピーナッツ,,pii-nat-tsu,Peanut,,Noun (n.)
タイ,,ta-i,Thailand,,Noun (n.)
ぞう,象,zo-u,Elephant,,Noun (n.)
どこか,"何処｜か
どこ｜か",do-ko-ka,Somewhere,,Noun (n.)
そうです,,so-u-de-su,Yes / That is so,,Expression
そうですか,,so-u-de-su-ka,Really? / Is that so?,,Expression
さんぽ,"散｜歩
さん｜ぽ",sa-n-po,Walk / Stroll,,Noun (n.)
