Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
いとこ,従兄弟,i-to-ko,Cousin,,Noun (n.)
とちゅう,"途｜中
と｜ちゅう",to-cyu-u,On the way,とちゅう + で,Noun (n.)
どうやって,,do-u-yat-te,In what way / By what means / How,,Expression
でんき,"電｜気
でん｜き",de-n-ki,Eletricity,,Noun (n.)
でんきや,"電｜気｜屋
でん｜き｜や",de-n-ki-ya,Electric appliance store,,Noun (n.)
ショップ,,syop-pu,Shop,,Noun (n.)
ひゃくえんショップ,百円ショップ,hya-ku-e-n-syop-pu,100-yen shop,,Noun (n.)
おもちゃ,玩具,o-mo-cya,Toy,,Noun (n.)
ヘッドホン,,hed-do-ho-n,Headphone,,Noun (n.)
みち,道,mi-chi,Street,,Noun (n.)
わたる,"渡｜る
わた｜る",wa-ta-ru,To cross,わたります is the present polite form,Godan Verb
あるく,"歩｜く
ある｜く",a-ru-ku,To walk,あるきます is the present polite form,Godan Verb
ポテト,,po-te-to,Potato,,Noun (n.)
チップス,,chip-pu-su,(Potato) chips,,Noun (n.)
ポテトチップス,,po-te-to-chip-pu-su,Potato chips,,Noun (n.)
フライド,,hu-ra-i-do,Fried,,Noun (n.)
チキン,,chi-ki-n,Chicken,,Noun (n.)
フォーク,,foo-ku,Fork,,Noun (n.)
ナイフ,,na-i-hu,Knife,,Noun (n.)
おさら,"お｜皿
お｜さら",o-sa-ra,Plate,,Noun (n.)
きる,切る,ki-ru,To cut,きります is the present polite form,Godan Verb
ろっぴゃく,"六｜百
ろっ｜ぴゃく",rop-pya-ku,Six hundred,,Other
