Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
もっと,,mot-to,More,"もっと + adj. = adj. + er
eg. もっと大きい = Bigger",Adverb
モニター,,mo-ni-taa,Monitor,,Noun (n.)
ワイヤレス,,wa-i-ya-re-su,Wireless,,Noun (n.)
マウス,,ma-u-su,Mouse,,Noun (n.)
キーボード,,kii-boo-do,Keyboard,,Noun (n.)
スピーカー,,su-pii-kaa,Speaker,,Noun (n.)
ケーブル,,kee-bu-ru,Cable,,Noun (n.)
でんち,"電｜池
でん｜ち",de-n-chi,Battery,,Noun (n.)
ゲーミング,,gee-mi-n-gu,Gaming,,Noun (n.)
インチ,吋,i-n-chi,Inch,,Noun (n.)
レシート,,re-shii-to,Receipt,,Noun (n.)
ふくろ,袋,hu-ku-ro,Bag,,Noun (n.)
レジぶくろ,"レジ｜袋
レジ｜ぶくろ",re-ji-bu-ku-ro,(Disposable) shopping bag,,Noun (n.)
まん,万,ma-n,Ten thousand,,Other
いちまん,"一｜万
いち｜まん",i-chi-ma-n,Ten thousand,,Other
かるい,"軽｜い
かる｜い",ka-ru-i,Lightweight,,I-Adjective
おもい,"重｜い
おも｜い",o-mo-i,Heavy,,I-Adjective
ひかる,"光｜る
ひか｜る",hi-ka-ru,To shrine / To light up,ひきります is the present polite form,Godan Verb
グレー,,gu-ree,Grey,,Noun (n.)
きになる,"気｜になる
き｜になる",ki-ni-na-ru,To be interested in,きになります is the present polite form,Godan Verb
いつか,"何時｜か
いつ｜か",i-tsu-ka,Someday,,Adverb
